listing_ID,bathrooms,bedrooms,lat,lng,capacity
HOM121.4995078.6233863,2,3,28.42815057,-81.45368135,6
HOM321.560.560,2,2,28.419937133789062,-81.47696685791016,6
HOM321.575242.1122559,2,2,28.397085,-81.45494889999998,6
HOM321.580710.1128027,2,4,28.5172998,-81.50505523,12
HOM321.606393.1153710,2,2,28.397085,-81.45494889999998,8
HOM321.610056.1157373,2,2,28.427685,-81.446236,5
HOM321.613774.1161091,2,3,28.42448,-81.445133,6
HOM321.633812.1181593,2,3,28.428533999999992,-81.44629908465572,6
HOM321.674272.1222210,2,2,28.42558230856856,-81.47819566298216,8
HOM321.699853.1247791,2,2,28.428718,-81.446353,6
HOM321.699870.1247808,3,3,28.43074,-81.45005,10
HOM321.705159.1253097,2,2,28.428449197058377,-81.44861967724609,6
HOM121.7103915.6259955,2,3,28.42918212402681,-81.44714697937621,6
HOM121.7106338.6260764,1,3,28.481729650656963,-81.46445964285277,10
HOM121.7132192.6278954,2,2,28.35222,-81.48713,6
HOM121.7150285.6308448,2,2,28.4284,-81.4504,6
HOM121.7152803.6314076,1,3,28.48296873383759,-81.46419257591856,10
HOM121.7155185.6318120,2,4,28.588339,-81.25818800000002,8
HOM121.7185904.6360543,2,3,28.4292,-81.451,8
HOM121.7185911.6360550,2,2,28.4284,-81.4504,6
HOM321.721826.1269764,2,3,28.42926026001427,-81.45081332327874,6
HOM321.721827.1269765,2,3,28.428322473868977,-81.45166316931147,6
HOM121.7296001.6612687,1,1,28.4520965,-81.46741810000003,2
HOM121.7304653.6623579,2,3,28.425928,-81.446406,6
HOM121.7304656.6623582,2,2,28.4283141,-81.4456664,4
HOM121.7318822.6650778,2,2,28.4292465,-81.4518456,6
HOM121.7336532.6679283,2,2,28.428402,-81.450445,4
HOM121.7350829.6704308,2,2,28.504618,-81.301066,4
HOM121.7350867.6704353,2,4,28.4293196,-81.4501292,8
HOM121.7350872.6704358,2,3,28.4293196,-81.4501292,6
HOM121.7350874.6704360,2,2,28.4283141,-81.4456664,5
HOM121.7350875.6704361,,,,,
HOM121.7350876.6704362,,,,,
HOM121.7350879.6704365,2,4,28.4293736,-81.4509874,10
HOM121.7350889.6704377,,,,,
HOM121.7350892.6704380,3,3,28.4308257,-81.451395,6
HOM121.7391446.6761713,2,3,28.401380164080848,-81.42826156989747,10
HOM321.739251.1287189,2,3,28.425735,-81.44578,8
HOM321.739327.1287265,2,3,28.426211,-81.446312,8
HOM121.7419248.6795840,1,3,28.48411580623333,-81.46459914470518,10
HOM121.7419259.6795851,2,2,28.483030450095384,-81.46576008095093,9
HOM321.744463.1292401,2,3,28.424683,-81.445144,8
HOM321.744464.1292402,2,3,28.424664,-81.445122,6
HOM321.744465.1292403,2,3,28.425688,-81.445834,8
HOM321.744466.1292404,2,3,28.428521,-81.445536,10
HOM121.7451391.6840227,3,3,28.3624226,-81.4964152,8
HOM321.748505.1296443,2,3,28.428041,-81.446937,10
HOM321.748873.1296811,2,2,28.425504,-81.44578,6
HOM321.749128.1297066,2,3,28.42448,-81.445133,6
HOM321.749196.1297134,,,,,
HOM121.7504705.6915847,4,3,28.4306788,-81.4508586,10
HOM321.752718.1300656,2,3,28.42760450777951,-81.44627432337478,6
HOM121.7529318.6942899,2,3,28.4289329,-81.4494087,8
HOM121.7529330.6942911,4,3,28.430866,-81.449888,8
HOM121.7563632.6988882,2,2,28.53976689,-81.37249785,4
HOM121.7564166.6989430,1,1,28.54166719,-81.36945877,3
HOM121.7566937.6992220,2,3,28.428447,-81.447941,7
HOM121.7572101.7001076,4,3,28.43127,-81.450826,6
HOM121.7575864.7007105,2,2,28.4292014,-81.4489706,6
HOM121.7589217.7030631,2,3,28.4284679,-81.45098740000003,8
HOM321.759540.1307478,3,3,28.429589,-81.4461579,10
HOM321.759581.1307519,2,3,28.4284206,-81.4459956,10
HOM321.766275.1314213,2,3,28.429271,-81.451778,6
HOM121.7665007.7126158,2,3,28.4243152,-81.4483715,8
HOM321.769570.1317508,2,3,28.427685,-81.446236,8
HOM121.7697203.7168198,2,2,28.507547,-81.301204,4
HOM121.7702377.7174777,3,3,28.432036654649675,-81.45313312117918,10
HOM121.7703798.7176540,2,4,28.4276219,-81.44618129999998,10
HOM121.7712856.7185985,2,3,28.4284,-81.4509,6
HOM121.7744130.7313037,3,3,28.42885133955467,-81.44437016745911,10
HOM121.7814518.7545022,2,2,28.387828,-81.477449,6
HOM121.7814519.7545023,2,2,28.387828,-81.477449,8
HOM121.7814524.7545028,2,2,28.387828,-81.477449,6
HOM121.7818123.7549291,2,2,28.42901,-81.44835,6
HOM121.7825363.7560208,4,3,28.430900434852443,-81.45228567276916,10
HOM121.7825713.7561166,4,3,28.432681599437235,-81.45184611380006,12
HOM321.785021.1332959,3,3,28.430877,-81.450633,8
HOM121.7862725.7609137,1,1,28.456535,-81.467957,4
HOM121.7865279.7612312,1,3,28.481944990244237,-81.46468770898434,9
HOM121.7874985.7633336,1,1,28.42207649,-81.47502671,2
HOM121.7879613.7639462,1,1,28.48962915,-81.4725723,4
HOM321.789055.1336993,2,3,28.428175442517848,-81.44692100000003,8
HOM121.7897849.7659197,,,,,
HOM121.7932345.7699723,1,null,28.42027304205032,-81.4764511343933,2
HOM121.7935800.7703178,4,3,28.4306142,-81.45019350000001,8
HOM121.7935820.7703198,4,3,28.4293923,-81.44523349999997,8
HOM121.7985041.7804388,2,1,28.36669627,-81.50112145,6
HOM321.821728.1369666,2,3,28.429497,-81.451767,8
HOM321.832993.1380932,2,3,28.428464,-81.451749,8
HOM321.857046.1404985,2,2,28.428484740275703,-81.44794100000001,6
HOM321.857047.1404986,2,3,28.428920599537246,-81.45102789999993,8
HOM321.857536.1405475,2,3,28.42448,-81.445133,6
HOM321.864624.1412563,2,2,28.4196745,-81.47675509999999,6
HOM321.865057.1412996,2,1,28.4196745,-81.47675509999999,6
HOM321.87094.87094,,,,,
HOM321.876138.1424077,1,1,28.3901112,-81.50061499999998,4
HOM321.876143.1424082,,,,,
HOM321.879576.1427515,2,3,28.42900838019145,-81.44975202275396,8
HOM321.880715.1428655,1,null,28.4280396,-81.4755988,4
HOM321.888814.1436755,2,3,28.4284206,-81.4459956,6
HOM121.9004828.7867816,1,null,28.44586,-81.42953,4
HOM321.901472.1449413,1,1,28.3902312,-81.5027632,2
HOM321.901488.1449429,2,2,28.3902312,-81.5027632,4
HOM121.9072952.8053324,1,2,28.49280699,-81.30050565,4
HOM121.9075408.8055374,4,3,28.433023888668583,-81.45068702275387,12
HOM121.9076719.8056625,2,3,28.4260025,-81.446353,8
HOM121.9078335.8058110,3,3,28.429482,-81.452339,8
HOM121.9082323.8061492,2,3,28.4260025,-81.446353,8
HOM311.9083322.8062311,2,2,28.4276219,-81.44618129999998,10
HOM121.9086903.8065286,,,,,
HOM121.9087050.8065434,2,3,28.4282626,-81.4477261,6
HOM121.9087053.8065437,4,3,28.4302289,-81.4512663,6
HOM121.9087057.8065441,2,3,28.4284673,-81.4502579,8
HOM121.9088465.8066761,2,3,28.4260025,-81.446353,6
HOM121.9100619.8099647,3,3,28.429932,-81.451569,8
HOM121.9124926.8164014,0,null,28.4520965,-81.46741810000003,6
HOM121.9127149.8166241,,,,,
HOM121.9127150.8166242,2,3,28.4284673,-81.4502579,6
HOM121.9127151.8166243,2,3,28.4292465,-81.4518456,8
HOM121.9168844.8210960,,,,,
HOM121.9169189.8211161,2,3,28.428038,-81.447037,8
HOM121.9194104.8222837,2,3,28.4244777,-81.44515139999999,8
HOM121.9206780.8228125,1,null,28.45684,-81.37871,3
HOM311.9229251.8239116,2,3,28.4260025,-81.44635299999999,8
HOM121.9239088.8255824,2,3,28.424479,-81.445152,8
HOM121.9314890.8373188,2,3,28.428314,-81.445663,8
HOM121.9345251.8416209,2,2,28.456786190578836,-81.46675991268921,7
HOM121.9346415.8417384,3,3,28.42979333,-81.44818233,8
HOM121.9355414.8426416,2,3,28.428467,-81.450256,8
HOM121.9355417.8426419,2,3,28.425554,-81.445709,6
HOM121.9364136.8435161,2,3,28.4293196,-81.4501292,6
HOM121.9391815.8470652,3,3,28.387828,-81.477449,6
HOM121.9393762.8472606,2,3,28.428967,-81.448112,6
HOM121.9395368.8474214,2,2,28.463933,-81.453677,8
HOM121.9409716.8488589,,,,,
HOM121.9410681.8489592,2,2,28.4260025,-81.446353,8
HOM121.9410709.8489620,,,,,
HOM121.9410731.8489642,,,,,
HOM121.9411415.8490328,2,3,28.4284673,-81.4502579,8
HOM121.9454119.8533222,1,3,28.53846457,-81.36157957,4
HOM121.9455499.8534602,3,3,28.43129,-81.450836,10
HOM121.9455868.8534971,3,3,28.430441,-81.450325,8
HOM121.9456896.8535999,2,3,28.4244777,-81.4451514,6
HOM121.9456897.8536000,2,3,28.4260025,-81.446353,6
HOM121.9469936.8549166,1,4,28.466471,-81.470642,13
HOM121.9470675.8549907,2,2,28.42448,-81.44515,6
HOM121.9482325.8561585,2,3,28.4284673,-81.4502579,6
HOM121.9484224.8563491,2,3,28.4289662,-81.4503064,8
HOM121.9499516.8578940,2,3,28.4244777,-81.4451514,6
HOM121.9505163.8584715,1,3,28.467575,-81.475258,12
HOM121.9507315.8586869,,,,,
HOM121.9508597.8588154,2,3,28.4283141,-81.4456664,6
HOM121.9519495.8599099,2,3,28.4280383,-81.4470396,6
HOM121.9519499.8599103,2,3,28.4283141,-81.4456664,6
HOM121.9519500.8599104,2,3,28.4289662,-81.4481124,6
HOM121.9519501.8599105,2,3,28.4280383,-81.4470396,7
HOM121.9519502.8599106,2,3,28.4294588,-81.4509015,8
HOM121.9520760.8600364,2,3,28.42571,-81.4454583,6
HOM121.9520761.8600365,2,3,28.42571,-81.4454583,6
HOM121.9522698.8602331,2,3,28.4286209,-81.4485488,8
HOM121.9522817.8602450,2,3,28.4294588,-81.4509015,6
HOM121.9522819.8602452,4,3,28.4305516,-81.4517168,6
HOM121.9522821.8602454,4,3,28.4305516,-81.4517168,6
HOM121.9522822.8602455,4,3,28.4298504,-81.4510088,6
HOM121.9522824.8602457,,,,,
HOM121.9523645.8603286,2,3,28.428738,-81.448799,6
HOM121.9523650.8603291,2,2,28.428738,-81.448799,4
HOM121.9524156.8603803,2,2,28.363568,-81.5006,6
HOM121.9528589.8608243,2,3,28.4247641,-81.4441063,6
HOM121.9528590.8608244,2,3,28.4247641,-81.4441063,8
HOM121.9528591.8608245,2,3,28.4247641,-81.4441063,8
